iter	Passed	Remaining
1152	3026	648
1153	3029	645
1154	3032	643
1155	3035	640
1156	3037	638
1157	3040	635
1158	3042	632
1159	3045	630
1160	3047	627
1161	3050	624
1162	3053	622
1163	3056	619
1164	3058	616
1165	3060	614
1166	3063	611
1167	3066	609
1168	3069	606
1169	3071	603
1170	3074	601
1171	3076	598
1172	3078	595
1173	3081	593
1174	3084	590
1175	3087	588
1176	3089	585
1177	3092	582
1178	3094	580
1179	3097	577
1180	3099	574
1181	3102	572
1182	3105	569
1183	3107	566
1184	3110	564
1185	3113	561
1186	3116	559
1187	3119	556
1188	3121	553
1189	3124	551
1190	3126	548
1191	3131	546
1192	3134	543
1193	3137	541
1194	3139	538
1195	3141	535
1196	3144	533
1197	3146	530
1198	3149	527
1199	3152	525
1200	3154	522
1201	3157	520
1202	3159	517
1203	3162	514
1204	3164	512
1205	3167	509
1206	3169	506
1207	3172	504
1208	3174	501
1209	3177	498
1210	3179	496
1211	3182	493
1212	3185	491
1213	3187	488
1214	3191	485
1215	3195	483
1216	3197	480
1217	3200	478
1218	3203	475
1219	3205	472
1220	3208	470
1221	3210	467
1222	3213	465
1223	3215	462
1224	3218	459
1225	3222	457
1226	3224	454
1227	3227	452
1228	3229	449
1229	3232	446
1230	3234	444
1231	3237	441
1232	3239	438
1233	3242	436
1234	3244	433
1235	3247	430
1236	3249	428
1237	3251	425
1238	3254	422
1239	3256	420
1240	3259	417
1241	3261	414
1242	3264	412
1243	3267	409
1244	3269	407
1245	3272	404
1246	3275	401
1247	3278	399
1248	3280	396
1249	3283	393
1250	3285	391
1251	3288	388
1252	3291	386
1253	3294	383
1254	3296	380
1255	3299	378
1256	3301	375
1257	3304	372
1258	3306	370
1259	3309	367
1260	3311	365
1261	3314	362
1262	3317	359
1263	3319	357
1264	3322	354
1265	3325	351
1266	3328	349
1267	3330	346
1268	3333	344
1269	3335	341
1270	3338	338
1271	3340	336
1272	3343	333
1273	3345	330
1274	3348	328
1275	3350	325
1276	3353	322
1277	3356	320
1278	3359	317
1279	3361	315
1280	3364	312
1281	3366	309
1282	3369	307
1283	3372	304
1284	3374	302
1285	3377	299
1286	3380	296
1287	3382	294
1288	3385	291
1289	3388	288
1290	3391	286
1291	3394	283
1292	3396	281
1293	3399	278
1294	3402	275
1295	3405	273
1296	3407	270
1297	3410	267
1298	3412	265
1299	3414	262
1300	3417	260
1301	3421	257
1302	3423	254
1303	3426	252
1304	3428	249
1305	3431	246
1306	3433	244
1307	3436	241
1308	3439	239
1309	3443	236
1310	3445	233
1311	3448	231
1312	3450	228
1313	3452	225
1314	3455	223
1315	3458	220
1316	3460	218
1317	3463	215
1318	3466	212
1319	3469	210
1320	3472	207
1321	3474	205
1322	3477	202
1323	3479	199
1324	3482	197
1325	3484	194
1326	3487	191
1327	3489	189
1328	3492	186
1329	3494	183
1330	3497	181
1331	3500	178
1332	3503	176
1333	3505	173
1334	3508	170
1335	3510	168
1336	3512	165
1337	3515	162
1338	3518	160
1339	3520	157
1340	3522	154
1341	3525	152
1342	3528	149
1343	3530	147
1344	3533	144
1345	3536	141
1346	3538	139
1347	3541	136
1348	3544	133
1349	3546	131
1350	3549	128
1351	3552	126
1352	3555	123
1353	3558	120
1354	3560	118
1355	3563	115
1356	3565	112
1357	3568	110
1358	3570	107
1359	3573	105
1360	3575	102
1361	3578	99
1362	3580	97
1363	3583	94
1364	3586	91
1365	3589	89
1366	3592	86
1367	3594	84
1368	3597	81
1369	3599	78
1370	3602	76
1371	3605	73
1372	3607	70
1373	3610	68
1374	3613	65
1375	3616	63
1376	3618	60
1377	3621	57
1378	3623	55
1379	3626	52
1380	3629	49
1381	3631	47
1382	3634	44
1383	3636	42
1384	3639	39
1385	3643	36
1386	3645	34
1387	3648	31
1388	3650	28
1389	3653	26
1390	3655	23
1391	3658	21
1392	3661	18
1393	3663	15
1394	3666	13
1395	3669	10
1396	3671	7
1397	3674	5
1398	3677	2
1399	3680	0
